raw_item_id,item_idx
outfit.85f26909d8334ab78f30c2fc9c73faf7,0
outfit.b77ec4404eef405aae1833e224314586,1
outfit.d4b6896b1ae74cdabebfdcf948fe64e2,2
outfit.9f5058295098471abdfaf0a7c74ddbfe,3
outfit.d7bff1b799a34575a47ce0f531791c9f,4
outfit.a4699b3b33b4d99c,5
outfit.2fac9258e5a64ac9a7658f54bd2056a8,6
outfit.542f3e3ae20d42bea4c81a418f7adb7b,7
outfit.061edd6d908049c5856935a0372ddc64,8
outfit.9bf55c30dee14573ac0d46c03fce3a0e,9
outfit.6958333b4841450e89aa9e2ef015bc9e,10
outfit.6d2a1e8d44094fd68c03239e1678bd44,11
outfit.6ca04d96536c4686b18c7f9b0223b1c6,12
outfit.611aa1f3505e4b1483f72313954fa1c4,13
outfit.9a5eec4507c14f97b35b6dd8735dd427,14
outfit.c7f7e575a62646a795e21178d1421421,15
outfit.46796cfb57174c9cb04ef0489123a073,16
outfit.6f809ac4449f4502a6eee8832eabcb60,17
outfit.b344d62ead214135a38ff1f67ecede48,18
outfit.be3e7c4ec5718d36,19
outfit.804540f3384690cf,20
outfit.98fa1b5287182a9d,21
outfit.1a3b0100b9dc49f0979bda1dbd531944,22
outfit.b62a06fd0f523bac,23
outfit.dd04098010f74a67ac9bf82eeb4b976c,24
outfit.c5394742e73b46f1b08728dfbf884b37,25
outfit.e76ee400198f473399acae129d3cc494,26
outfit.8d2a8dd0ad03482699a78cab744e8f43,27
outfit.98eebea274f23dd6,28
outfit.648db79508724c99ab948e953e4813a7,29
outfit.b6f5fc6064a147b1bcd80a734914047b,30
outfit.8e0381dffb04d62e,31
outfit.4f721be400c2454b93b62690da061edb,32
outfit.9aadfc9a1d195c33,33
outfit.ad7b25af60b141fdb0ca78ace012f4bd,34
outfit.fe92a229cede4fd7b2905829b3ac18a4,35
outfit.78778f72774d4269abd8410a9511fdf6,36
outfit.f23993293d944d1b9bf173ca5be1a409,37
outfit.0e79f46fd9f344bdb7c714ffce9e98aa,38
outfit.801f1b35886e42f6907ec4709420c7e3,39
outfit.b5ed0c5f419c4a35bbbfd0c879259c15,40
outfit.3bf44cf3a9d8493eb057521c2f3e88e2,41
outfit.53760b48aca64f54b952881a5c05294b,42
outfit.a63d74a774f54bb68669712adff310b0,43
outfit.05c9138e44364cc99daeda4e559c6718,44
outfit.97228689c245bc79,45
outfit.b2c68e50868a46a8872e81bcd3a17870,46
outfit.c50c68dca68a4c8e857fb9330c6251f7,47
outfit.51b891c17fd740f7be09c64e8dcaf8f0,48
outfit.72eee22c579944b29ea4d79804f2d5ae,49
outfit.c29793ebe2a54738b848d5d13247cf78,50
outfit.b600e7bd666943048df807f5cbc23413,51
outfit.c8855506fa9d47308b87aa0fe5efe3ca,52
outfit.b445281f95194d34bb67f5b46d9e0aeb,53
outfit.9495aef8f431479780f9daca349d5c88,54
outfit.5b937d37f2c14eeba96ec4e91dd146f4,55
outfit.52e10831aaaa4ea29dd0b982d99e58be,56
outfit.012a4c0079984d719f3f2626bb60b374,57
outfit.e8748e8e1b9c47d2a840189806c1793d,58
outfit.607534b4baf64ac888dddf127f890a85,59
outfit.12c12a811ce94cba9febdb2c4e4c79bb,60
outfit.9afe01dbd10c45979432632e1cc6c4cb,61
outfit.abf0c4f2f98149238bdac244fc2498c1,62
outfit.5b8078250e4a44ac9f63d4cf2c103a0d,63
outfit.54e07f3e2b054fa7807a96f0da4cc381,64
outfit.929dd359d12a469287a22a602557f216,65
outfit.8b59f2bbec7b4381a1947f5ae9af5bd9,66
outfit.bd2ab280ed364f26,67
outfit.656d8c9767e2417d8fad467465515b5d,68
outfit.8d6bd94d09354d22a77928a01bac9d25,69
outfit.c27fa85454754de59e30b7a2ef4c1502,70
outfit.a23aa00026a246f1aa758fd59b2127fc,71
outfit.7db7c3809341482b97041245e1b1a7b4,72
outfit.0149e9cdd92241a7a8c73a98eb397928,73
outfit.cb20ad201fe143f0ad2d7363492de7a4,74
outfit.ef4b68ca78654ad39d267489a71b1502,75
outfit.9ff74f4f2a2f4454a7a629777cff27a6,76
outfit.aa10e3ab93793dc9,77
outfit.6f038b817a5a4220a8dea6bbc464c4a2,78
outfit.1233866861b14f0bb1e9116e90d9a492,79
outfit.ea6e2ed1ee964a7aa263a287d6d5663b,80
outfit.9129342910b8407d910cb23e490e7e94,81
outfit.44845d2a302f466dbc3584ea08a82c17,82
outfit.cae9a32a23f4479bb7318053c0e6ccc8,83
outfit.89fab8d7d294457fa493f087c68b6bc1,84
outfit.7e3ba88f18574b9b9a3d5bf916532227,85
outfit.a34f8f83000e4ff294498d2f8285aaf8,86
outfit.c93e99cc15dc4420994f40954bf9d8a8,87
outfit.386472f39b5b4a7082e407d6171b4036,88
outfit.0f8c445a9a334c6984277bd96513a37f,89
outfit.414768b3e9534529a50d48e5cee533c2,90
outfit.dbc23a4318aa404f9ee99d53ec48dc4b,91
outfit.cf9bbe45707c485b95a3c67d805fe1b4,92
