u,v,weight
0,0,0.49905047
0,1,0.5009495
1,4,0.12291527
1,5,0.028069166
1,6,0.028069166
1,7,0.028069166
1,8,0.057671245
1,9,0.057671245
1,10,0.02960208
1,11,0.02960208
1,12,0.02960208
1,13,0.029658347
1,14,0.03145675
1,15,0.0629135
1,16,0.03145675
1,17,0.06460859
1,18,0.0656685
1,19,0.097972795
1,20,0.032304294
1,21,0.033364207
1,22,0.033364207
1,23,0.035320185
1,24,0.035320185
1,25,0.035320185
2,28,0.03036794
2,29,0.03036794
2,30,0.03036794
2,31,0.032148264
2,32,0.07244795
2,33,0.032148264
2,34,0.06624591
2,35,0.032148264
2,36,0.034097653
2,37,0.034097653
2,38,0.03416247
2,39,0.036096632
2,40,0.036096632
2,41,0.036096632
2,42,0.12288495
2,43,0.03799572
2,44,0.03799572
2,45,0.040299676
2,46,0.043315336
2,47,0.043315336
2,48,0.04576771
2,49,0.04576771
2,50,0.04576771
3,53,0.13822654
3,54,0.13822654
3,55,0.13822654
3,56,0.1463301
3,57,0.2926602
3,58,0.1463301
4,61,0.1890206
4,62,0.091818854
4,63,0.091818854
4,64,0.09720174
4,65,0.09720174
4,66,0.09720174
4,67,0.09720174
4,68,0.115757756
4,69,0.122777015
5,72,0.038297426
5,73,0.038297426
5,74,0.040619686
5,75,0.08123937
5,76,0.08622818
5,77,0.043001015
5,78,0.043001015
5,79,0.04560849
5,80,0.04560849
5,81,0.048374068
5,82,0.048374068
5,83,0.05121
5,84,0.05121
5,85,0.054315247
5,86,0.054315247
5,87,0.054315247
5,88,0.05749948
5,89,0.05749948
5,90,0.060986098
6,93,0.11911746
6,94,0.11911746
6,95,0.11911746
6,96,0.11911746
6,97,0.11911746
6,98,0.13173059
6,99,0.13349341
6,100,0.13918874
7,103,0.051753707
7,104,0.051753707
7,105,0.053859346
7,106,0.053859346
7,107,0.057125222
7,108,0.057125222
7,109,0.060589146
7,110,0.060589146
7,111,0.0641412
7,112,0.0641412
7,113,0.067901485
7,114,0.067901485
7,115,0.07053003
7,116,0.07053003
7,117,0.07409984
7,118,0.07409984
8,14,0.032826345
8,121,0.031008473
